query_name,game_key,app_id,game_title,mature,early_access,release_date,tags,history_rows,latest_prices_rows,status,error
(VR)西汉帝陵 The Han Dynasty Imperial Mausoleums,568330,568330,(VR)西汉帝陵 The Han Dynasty Imperial Mausoleums,False,False,2017-01-21,"Indie, VR",2,0,ok,
(Virus_);,207650,207650,A Virus Named TOM,False,False,2012-08-01,"Indie, Puzzle, Action, Strategy, Local Co-Op",172,0,ok,
(You're Not) Welcome to Rennville,4421860,4421860,(You're Not) Welcome to Rennville,False,False,,"Adventure, Cozy, Exploration, Pixel Graphics, Casual",0,0,ok,
(a)woken,3589880,3589880,Awoken,False,False,,"2D Platformer, Roguelike, Roguelite, Hack and Slash, PvE",3,0,ok,
(para)Normal Commute,2264840,2264840,(para)Normal Commute,False,False,,"Adventure, Underground, Casual, Horror, Singleplayer",0,0,ok,
(square),969990,969990,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,False,False,2020-06-23,"Adventure, 3D Platformer, Cult Classic, Remake, Multiplayer",1373,0,ok,
(the) Gnorp Apologue,1473350,1473350,(the) Gnorp Apologue,False,False,2023-12-14,"Idler, Clicker, Strategy, Building, Economy",24,0,ok,
(the) Rise of Willy,3496710,3496710,(the) Rise of Willy,False,False,,"Aliens, 3D Platformer, Dark Humor, Adventure, Funny",0,0,ok,
"(val)iant: or, val's guide to having a broken vag",2388360,2388360,"(val)iant: or, val's guide to having a broken vag",False,False,2023-06-02,"Casual, Education, Software, Point & Click, Puzzle",1,0,ok,
***,620,620,Portal 2,False,False,2011-04-19,"Singleplayer, Platformer, Puzzle, First-Person, Dark Humor",258,0,ok,
*NEW* FINAL SCUFFED WITH A LITTLE POLISH BHOP EXPERIENCE 2029 BRAIN ROT EDITION (POG CHAMP),1743780,1743780,*NEW* FINAL SCUFFED WITH A LITTLE POLISH BHOP EXPERIENCE 2029 BRAIN ROT EDITION (POG CHAMP),False,False,,"Simulation, 3D, Casual, Funny, Relaxing",0,0,ok,
*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,1823340,1823340,*NEW* SCUFFED BHOP SIMULATION 2026 GOTY EDITION,False,False,2022-03-25,"Simulation, Casual, Platformer, Sandbox, 3D Platformer",1,0,ok,
*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),1465860,1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),False,False,2020-11-28,"Casual, Action, Simulation, Platformer, Open World",1,0,ok,
*NEW* SCUFFED EPIC VISUAL NOVEL,1568650,1568650,*NEW* SCUFFED EPIC VISUAL NOVEL,False,False,2021-07-13,"Casual, Memes, Choose Your Own Adventure, 2D, Cartoon",7,0,ok,
+ PC Maker,3138760,3138760,+ PC Maker,False,True,2026-02-15,"Casual, Simulation, Puzzle, Sandbox, Immersive Sim",1,0,ok,
+1%,8870,8870,BioShock Infinite,False,False,2013-03-25,"Action, Shooter, First-Person, FPS, RPG",5352,0,ok,
+1x2,2876140,2876140,+1x2,False,False,2024-03-21,"Simulation, Clicker, Idler, Management, Choices Matter",47,0,ok,
-,620,620,Portal 2,False,False,2011-04-19,"Singleplayer, Platformer, Puzzle, First-Person, Dark Humor",258,0,ok,
- Arcane Raise -,603750,603750,Arcane Raise,False,False,2017-03-10,"Adventure, RPG, Strategy, Casual, RPGMaker",41,0,ok,
- Doki Doki Family - 特異体質者のドキドキ家族生活,1961860,1961860,- Doki Doki Family - 特異体質者のドキドキ家族生活,False,False,2022-05-26,"Choose Your Own Adventure, Visual Novel, Simulation, Cute, Dating Sim",13,0,ok,
- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ,2184400,2184400,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ アーシャEdition,False,False,2022-11-24,"Choose Your Own Adventure, Visual Novel, Romance, 2D, Cute",5,0,ok,
- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ アーシャEdition,2184400,2184400,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ アーシャEdition,False,False,2022-11-24,"Choose Your Own Adventure, Visual Novel, Romance, 2D, Cute",5,0,ok,
- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ クラーラEdition,2184400,2184400,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ アーシャEdition,False,False,2022-11-24,"Choose Your Own Adventure, Visual Novel, Romance, 2D, Cute",5,0,ok,
- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ サツキEdition,2184400,2184400,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ アーシャEdition,False,False,2022-11-24,"Choose Your Own Adventure, Visual Novel, Romance, 2D, Cute",5,0,ok,
